ID_SERIE;NOMBRE;LINK;FECHA_CREACION;SERIES
26;flying DOG;https://myanimelist.net/anime/producer/464/flying_DOG;1997-02-03;162
26;Diomedéa;https://myanimelist.net/anime/producer/51/Diomed%C3%A9a;2007-11-28;57
27;Sotsu;https://myanimelist.net/anime/producer/64/Sotsu;1965-10-01;330
27;Docomo Anime Store;https://myanimelist.net/anime/producer/1334/Docomo_Anime_Store;2012-05-01;76
27;ABC Animation;https://myanimelist.net/anime/producer/1500/ABC_Animation;2016-04-05;79
27;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
27;SILVER LINK.;https://myanimelist.net/anime/producer/300/SILVER_LINK;2007-12-01;124
28;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
28;BS NTV;https://myanimelist.net/anime/producer/1680/BS_NTV;1998-12-02;43
28;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
28;NewGin;https://myanimelist.net/anime/producer/1779/NewGin;2018-06-01;6
28;Aiming;https://myanimelist.net/anime/producer/2435/Aiming;null;5
28;Nexus;https://myanimelist.net/anime/producer/852/Nexus;2012-01-01;10
29;NBCUniversal Entertainment Japan;https://myanimelist.net/anime/producer/1113/NBCUniversal_Entertainment_Japan;1981-03-01;101
29;Hoods Entertainment;https://myanimelist.net/anime/producer/346/Hoods_Entertainment;2009-02-01;41
30;Sotsu;https://myanimelist.net/anime/producer/64/Sotsu;1965-10-01;330
30;MediaNet;https://myanimelist.net/anime/producer/135/MediaNet;1978-04-01;47
30;Pony Canyon;https://myanimelist.net/anime/producer/144/Pony_Canyon;1966-10-01;411
30;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
30;Asmik Ace;https://myanimelist.net/anime/producer/517/Asmik_Ace;1985-03-01;85
30;Hobby Japan;https://myanimelist.net/anime/producer/547/Hobby_Japan;1969-09-27;31
30;81 Produce;https://myanimelist.net/anime/producer/1185/81_Produce;1981-02-03;28
30;Tokyo MX;https://myanimelist.net/anime/producer/1211/Tokyo_MX;1993-04-30;191
30;Exit Tunes;https://myanimelist.net/anime/producer/1594/Exit_Tunes;2001-06-27;8
30;Production Reed;https://myanimelist.net/anime/producer/196/Production_Reed;1975-12-24;21
31;Genco;https://myanimelist.net/anime/producer/79/Genco;1997-03-01;195
31;Warner Bros. Japan;https://myanimelist.net/anime/producer/415/Warner_Bros_Japan;1992-05-29;128
31;KlockWorx;https://myanimelist.net/anime/producer/460/KlockWorx;1997-01-24;309
31;Showgate;https://myanimelist.net/anime/producer/777/Showgate;2003-06-01;123
31;Bandai Namco Games;https://myanimelist.net/anime/producer/1097/Bandai_Namco_Games;2006-03-31;38
31;A-1 Pictures;https://myanimelist.net/anime/producer/56/A-1_Pictures;2005-05-09;244
32;Lantis;https://myanimelist.net/anime/producer/104/Lantis;1999-11-26;492
32;Movic;https://myanimelist.net/anime/producer/166/Movic;1983-10-01;439
32;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
32;Glovision;https://myanimelist.net/anime/producer/1255/Glovision;1963-01-01;59
32;TV Aichi;https://myanimelist.net/anime/producer/1355/TV_Aichi;1982-12-01;16
32;Crunchyroll;https://myanimelist.net/anime/producer/1468/Crunchyroll;2006-09-01;220
32;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
32;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
32;Bandai Namco Arts;https://myanimelist.net/anime/producer/1840/Bandai_Namco_Arts;1983-08-23;85
32;SILVER LINK.;https://myanimelist.net/anime/producer/300/SILVER_LINK;2007-12-01;124
32;Studio Palette;https://myanimelist.net/anime/producer/2201/Studio_Palette;2018-02-01;6
33;Genco;https://myanimelist.net/anime/producer/79/Genco;1997-03-01;195
33;Media Factory;https://myanimelist.net/anime/producer/108/Media_Factory;2013-10-01;158
33;Shochiku;https://myanimelist.net/anime/producer/109/Shochiku;1920-01-01;134
33;Happinet Pictures;https://myanimelist.net/anime/producer/787/Happinet_Pictures;1969-06-07;47
33;J.C.Staff;https://myanimelist.net/anime/producer/7/JCStaff;1986-01-18;421
34;Sotsu;https://myanimelist.net/anime/producer/64/Sotsu;1965-10-01;330
34;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
34;DIVE II Entertainment;https://myanimelist.net/anime/producer/1039/DIVE_II_Entertainment;null;29
34;Tokyo MX;https://myanimelist.net/anime/producer/1211/Tokyo_MX;1993-04-30;191
34;Avex Pictures;https://myanimelist.net/anime/producer/1284/Avex_Pictures;2014-04-01;118
34;BS11;https://myanimelist.net/anime/producer/1416/BS11;1999-08-23;156
34;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
34;KLab;https://myanimelist.net/anime/producer/1787/KLab;2000-08-01;11
34;SILVER LINK.;https://myanimelist.net/anime/producer/300/SILVER_LINK;2007-12-01;124
34;Connect;https://myanimelist.net/anime/producer/957/Connect;2012-04-01;25
35;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
35;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
35;NTT Plala;https://myanimelist.net/anime/producer/1614/NTT_Plala;1995-12-18;19
35;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
35;Madhouse;https://myanimelist.net/anime/producer/11/Madhouse;1972-10-01;385
36;Aniplex;https://myanimelist.net/anime/producer/17/Aniplex;1995-09-01;594
36;Magic Capsule;https://myanimelist.net/anime/producer/306/Magic_Capsule;null;141
36;Shogakukan;https://myanimelist.net/anime/producer/1430/Shogakukan;null;117
36;ABC Animation;https://myanimelist.net/anime/producer/1500/ABC_Animation;2016-04-05;79
36;TROYCA;https://myanimelist.net/anime/producer/1103/TROYCA;2013-05-01;21
37;NHK;https://myanimelist.net/anime/producer/111/NHK;1950-06-01;1044
37;NHK Enterprises;https://myanimelist.net/anime/producer/1797/NHK_Enterprises;2005-04-01;43
37;Bandai Namco Pictures;https://myanimelist.net/anime/producer/1258/Bandai_Namco_Pictures;2015-04-01;65
38;Frontier Works;https://myanimelist.net/anime/producer/61/Frontier_Works;2002-08-01;162
38;TOHO;https://myanimelist.net/anime/producer/245/TOHO;1932-08-01;163
38;TOHO animation;https://myanimelist.net/anime/producer/1143/TOHO_animation;1932-01-01;143
38;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
38;BS11;https://myanimelist.net/anime/producer/1416/BS11;1999-08-23;156
38;Egg Firm;https://myanimelist.net/anime/producer/1444/Egg_Firm;2015-03-10;41
38;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
38;GREE Entertainment;https://myanimelist.net/anime/producer/2289/GREE_Entertainment;2021-07-01;14
38;Studio Bind;https://myanimelist.net/anime/producer/1993/Studio_Bind;2018-11-01;8
39;J.C.Staff;https://myanimelist.net/anime/producer/7/JCStaff;1986-01-18;421
40;Mainichi Broadcasting System;https://myanimelist.net/anime/producer/143/Mainichi_Broadcasting_System;2016-07-28;281
40;Asmik Ace;https://myanimelist.net/anime/producer/517/Asmik_Ace;1985-03-01;85
40;King Records;https://myanimelist.net/anime/producer/1344/King_Records;1951-11-01;108
40;Ichijinsha;https://myanimelist.net/anime/producer/1582/Ichijinsha;1992-08-20;31
40;Nichion;https://myanimelist.net/anime/producer/1585/Nichion;1963-08-01;33
40;SILVER LINK.;https://myanimelist.net/anime/producer/300/SILVER_LINK;2007-12-01;124
41;Genco;https://myanimelist.net/anime/producer/79/Genco;1997-03-01;195
41;Lantis;https://myanimelist.net/anime/producer/104/Lantis;1999-11-26;492
41;Media Factory;https://myanimelist.net/anime/producer/108/Media_Factory;2013-10-01;158
41;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
41;Showgate;https://myanimelist.net/anime/producer/777/Showgate;2003-06-01;123
41;Arms;https://myanimelist.net/anime/producer/38/Arms;1996-11-18;111
42;Movic;https://myanimelist.net/anime/producer/166/Movic;1983-10-01;439
42;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
42;Sammy;https://myanimelist.net/anime/producer/1345/Sammy;1975-11-01;61
42;Crunchyroll;https://myanimelist.net/anime/producer/1468/Crunchyroll;2006-09-01;220
42;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
42;NTT Plala;https://myanimelist.net/anime/producer/1614/NTT_Plala;1995-12-18;19
42;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
42;Millepensee;https://myanimelist.net/anime/producer/1237/Millepensee;2013-01-01;27
43;Dentsu;https://myanimelist.net/anime/producer/53/Dentsu;1901-07-01;377
43;Yomiuri Telecasting;https://myanimelist.net/anime/producer/76/Yomiuri_Telecasting;1958-02-13;100
43;Kadokawa Shoten;https://myanimelist.net/anime/producer/113/Kadokawa_Shoten;1954-04-02;214
43;TOHO;https://myanimelist.net/anime/producer/245/TOHO;1932-08-01;163
43;Nippon Television Network;https://myanimelist.net/anime/producer/1003/Nippon_Television_Network;1952-10-28;170
43;Arquebuse;https://myanimelist.net/anime/producer/1912/Arquebuse;null;1
43;Studio Chizu;https://myanimelist.net/anime/producer/555/Studio_Chizu;2011-04-01;7
44;Cospa;https://myanimelist.net/anime/producer/619/Cospa;1998-02-01;13
44;Showgate;https://myanimelist.net/anime/producer/777/Showgate;2003-06-01;123
44;J.C.Staff;https://myanimelist.net/anime/producer/7/JCStaff;1986-01-18;421
45;TBS;https://myanimelist.net/anime/producer/145/TBS;2000-03-21;251
45;Kodansha;https://myanimelist.net/anime/producer/159/Kodansha;1909-11-01;316
45;Half H.P Studio;https://myanimelist.net/anime/producer/213/Half_HP_Studio;1984-02-01;127
45;KlockWorx;https://myanimelist.net/anime/producer/460/KlockWorx;1997-01-24;309
45;81 Produce;https://myanimelist.net/anime/producer/1185/81_Produce;1981-02-03;28
45;Avex Pictures;https://myanimelist.net/anime/producer/1284/Avex_Pictures;2014-04-01;118
45;Crunchyroll;https://myanimelist.net/anime/producer/1468/Crunchyroll;2006-09-01;220
45;GREE;https://myanimelist.net/anime/producer/1815/GREE;2004-12-07;19
45;Tezuka Productions;https://myanimelist.net/anime/producer/200/Tezuka_Productions;1968-01-23;121
45;Okuruto Noboru;https://myanimelist.net/anime/producer/2037/Okuruto_Noboru;2017-12-01;9
46;Yomiko Advertising;https://myanimelist.net/anime/producer/127/Yomiko_Advertising;1946-07-11;82
46;Fuji TV;https://myanimelist.net/anime/producer/169/Fuji_TV;1959-03-01;389
46;Toei Animation;https://myanimelist.net/anime/producer/18/Toei_Animation;1948-01-23;895
47;Half H.P Studio;https://myanimelist.net/anime/producer/213/Half_HP_Studio;1984-02-01;127
47;Studio Deen;https://myanimelist.net/anime/producer/37/Studio_Deen;1975-03-14;319
48;Mainichi Broadcasting System;https://myanimelist.net/anime/producer/143/Mainichi_Broadcasting_System;2016-07-28;281
48;Nippon Television Network;https://myanimelist.net/anime/producer/1003/Nippon_Television_Network;1952-10-28;170
48;Tokyo MX;https://myanimelist.net/anime/producer/1211/Tokyo_MX;1993-04-30;191
48;Medicos Entertainment;https://myanimelist.net/anime/producer/1337/Medicos_Entertainment;null;32
48;Nichion;https://myanimelist.net/anime/producer/1585/Nichion;1963-08-01;33
