"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"100","Kadokawa","https://myanimelist.net/anime/producer/1696/Kadokawa","2014-10-01","380"
"101","Sony Music Solutions","https://myanimelist.net/anime/producer/2106/Sony_Music_Solutions","1987-08-21","11"
"102","Bandai Namco Music Live","https://myanimelist.net/anime/producer/2425/Bandai_Namco_Music_Live","null","44"
"103","BS TV Tokyo","https://myanimelist.net/anime/producer/1469/BS_TV_Tokyo","1998-12-14","6"
"104","Bandai Namco Arts","https://myanimelist.net/anime/producer/1840/Bandai_Namco_Arts","1983-08-23","85"
"105","ADK Marketing Solutions","https://myanimelist.net/anime/producer/2232/ADK_Marketing_Solutions","2019-01-01","13"
"106","Arvo Animation","https://myanimelist.net/anime/producer/1874/Arvo_Animation","2017-07-01","8"
"107","BS Fuji","https://myanimelist.net/anime/producer/843/BS_Fuji","1998-12-15","89"
"108","NetEase","https://myanimelist.net/anime/producer/2146/NetEase","1997-01-01","33"
"109","Lapin Track","https://myanimelist.net/anime/producer/1828/Lapin_Track","2014-06-30","9"
"110","APPP","https://myanimelist.net/anime/producer/77/APPP","1984-06-22","31"
"111","Avex Entertainment","https://myanimelist.net/anime/producer/52/Avex_Entertainment","1988-04-11","88"
"112","DIVE II Entertainment","https://myanimelist.net/anime/producer/1039/DIVE_II_Entertainment","null","29"
"113","VAP","https://myanimelist.net/anime/producer/29/VAP","1981-01-24","165"
"114","Pony Canyon Enterprises","https://myanimelist.net/anime/producer/1557/Pony_Canyon_Enterprises","1989-06-01","36"
"115","D-techno","https://myanimelist.net/anime/producer/1819/D-techno","2008-12-12","4"
"116","Nihon Keizai Koukokusha","https://myanimelist.net/anime/producer/2219/Nihon_Keizai_Koukokusha","1947-03-01","3"
"117","Signal.MD","https://myanimelist.net/anime/producer/1278/SignalMD","2014-10-01","32"
"118","Magic Capsule","https://myanimelist.net/anime/producer/306/Magic_Capsule","null","143"
"119","NTT Docomo","https://myanimelist.net/anime/producer/689/NTT_Docomo","1992-07-01","19"
"120","AMG MUSIC","https://myanimelist.net/anime/producer/779/AMG_MUSIC","null","9"
"121","feel.","https://myanimelist.net/anime/producer/91/feel","2002-12-26","74"
"122","Sony Interactive Entertainment","https://myanimelist.net/anime/producer/1950/Sony_Interactive_Entertainment","2016-04-01","3"
"123","Information-technology Promotion Agency","https://myanimelist.net/anime/producer/2515/Information-technology_Promotion_Agency","null","1"
"124","Emon","https://myanimelist.net/anime/producer/1530/Emon","2015-10-01","9"
"125","Cloud22","https://myanimelist.net/anime/producer/2088/Cloud22","2015-12-01","27"
"126","Creators in Pack","https://myanimelist.net/anime/producer/1195/Creators_in_Pack","2013-04-01","32"
"127","Namu Animation","https://myanimelist.net/anime/producer/1536/Namu_Animation","2013-12-01","3"
"128","Nippon Columbia","https://myanimelist.net/anime/producer/323/Nippon_Columbia","null","150"
"129","Studio Gokumi","https://myanimelist.net/anime/producer/418/Studio_Gokumi","2010-05-01","52"
"130","AXsiZ","https://myanimelist.net/anime/producer/1299/AXsiZ","2011-07-07","12"
"131","Toshiba Entertainment","https://myanimelist.net/anime/producer/741/Toshiba_Entertainment","2003-10-01","32"
"132","Group TAC","https://myanimelist.net/anime/producer/86/Group_TAC","1998-03-01","125"
"133","Studio Live","https://myanimelist.net/anime/producer/1383/Studio_Live","1976-07-17","19"
"134","Shochiku","https://myanimelist.net/anime/producer/109/Shochiku","null","135"
"135","Sony Pictures Entertainment","https://myanimelist.net/anime/producer/15/Sony_Pictures_Entertainment","1984-02-10","45"
"136","Barnum Studio","https://myanimelist.net/anime/producer/271/Barnum_Studio","2003-02-27","23"
"137","Marvelous Entertainment","https://myanimelist.net/anime/producer/82/Marvelous_Entertainment","1997-06-25","62"
"138","Studio Mausu","https://myanimelist.net/anime/producer/719/Studio_Mausu","2005-03-03","93"
"139","BS11","https://myanimelist.net/anime/producer/1416/BS11","1999-08-23","164"
"140","Kadokawa Media House","https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House","1983-06-08","98"
"141","CBS","https://myanimelist.net/anime/producer/1480/CBS","null","8"
"142","Ashi Productions","https://myanimelist.net/anime/producer/242/Ashi_Productions","1975-12-24","93"
"143","Tokyo MX","https://myanimelist.net/anime/producer/1211/Tokyo_MX","1993-04-30","197"
"144","DMM.com","https://myanimelist.net/anime/producer/1542/DMMcom","1999-11-17","22"
"145","BS NTV","https://myanimelist.net/anime/producer/1680/BS_NTV","1998-12-02","47"
"146","Good Smile Film","https://myanimelist.net/anime/producer/1899/Good_Smile_Film","2017-11-22","17"
"147","Bit grooove promotion","https://myanimelist.net/anime/producer/2074/Bit_grooove_promotion","2012-05-02","58"
"148","SB Creative","https://myanimelist.net/anime/producer/2117/SB_Creative","1999-03-24","17"
"149","Yostar","https://myanimelist.net/anime/producer/2634/Yostar","2017-01-16","10"
"150","Project No.9","https://myanimelist.net/anime/producer/439/Project_No9","2009-02-09","43"
"151","BEAM Entertainment","https://myanimelist.net/anime/producer/1139/BEAM_Entertainment","2020-05-01","18"
"152","Imagin","https://myanimelist.net/anime/producer/75/Imagin","1992-06-15","13"
"153","Index","https://myanimelist.net/anime/producer/870/Index","1995-09-01","9"
"154","Universal Pictures Japan","https://myanimelist.net/anime/producer/1450/Universal_Pictures_Japan","2001-01-01","3"
"155","Netflix","https://myanimelist.net/anime/producer/1977/Netflix","1997-08-29","30"
"156","Bandai","https://myanimelist.net/anime/producer/230/Bandai","1950-07-05","93"
"157","Sumitomo","https://myanimelist.net/anime/producer/1507/Sumitomo","1919-12-24","9"
"158","Starchild Records","https://myanimelist.net/anime/producer/92/Starchild_Records","1981-01-01","157"
"159","Sega","https://myanimelist.net/anime/producer/167/Sega","1960-06-03","75"
"160","Ai Addiction","https://myanimelist.net/anime/producer/1041/Ai_Addiction","null","18"
"161","Toyo Recording","https://myanimelist.net/anime/producer/1985/Toyo_Recording","1965-05-01","5"
"162","arma bianca","https://myanimelist.net/anime/producer/1986/arma_bianca","2015-07-01","8"
"163","Anima&Co.","https://myanimelist.net/anime/producer/1983/Anima_Co","2003-04-01","5"
"164","Happy Elements","https://myanimelist.net/anime/producer/1793/Happy_Elements","2010-04-01","15"
"165","Cammot","https://myanimelist.net/anime/producer/609/Cammot","null","3"
"166","Lilix","https://myanimelist.net/anime/producer/1759/Lilix","null","9"
"167","ABC Animation","https://myanimelist.net/anime/producer/1500/ABC_Animation","2016-04-05","82"
"168","CMI","https://myanimelist.net/anime/producer/2691/CMI","null","4"
"169","Studio Jack","https://myanimelist.net/anime/producer/829/Studio_Jack","1970-04-01","86"
"170","AIC","https://myanimelist.net/anime/producer/48/AIC","1982-07-15","258"
"171","Maikaze","https://myanimelist.net/anime/producer/449/Maikaze","2005-01-01","2"
"172","Mag Garden","https://myanimelist.net/anime/producer/1452/Mag_Garden","2001-06-01","23"
"173","Remic","https://myanimelist.net/anime/producer/49/Remic","null","4"
"174","Ichigo Animation","https://myanimelist.net/anime/producer/2001/Ichigo_Animation","2019-04-04","1"
"175","Comic Animation","https://myanimelist.net/anime/producer/2002/Comic_Animation","2011-12-20","1"
"176","Drive","https://myanimelist.net/anime/producer/1967/Drive","2015-05-11","10"
"177","Studio Pastoral","https://myanimelist.net/anime/producer/299/Studio_Pastoral","2004-10-01","4"
"178","Soeishinsha","https://myanimelist.net/anime/producer/1372/Soeishinsha","null","10"
"179","Bandai Visual","https://myanimelist.net/anime/producer/23/Bandai_Visual","1983-08-23","435"
"180","BeSTACK","https://myanimelist.net/anime/producer/89/BeSTACK","1993-12-06","9"
"181","Memory-Tech","https://myanimelist.net/anime/producer/647/Memory-Tech","2010-12-01","50"
"182","Avex Pictures","https://myanimelist.net/anime/producer/1284/Avex_Pictures","2014-04-01","121"
"183","ABJ COMPANY","https://myanimelist.net/anime/producer/2807/ABJ_COMPANY","null","4"
"184","KENMedia","https://myanimelist.net/anime/producer/283/KENMedia","2000-10-01","9"
"185","bilibili","https://myanimelist.net/anime/producer/1414/bilibili","2009-06-01","226"
"186","MMT Technology","https://myanimelist.net/anime/producer/2267/MMT_Technology","null","2"
"187","Radix","https://myanimelist.net/anime/producer/81/Radix","1995-12-06","32"
"188","Marine Entertainment","https://myanimelist.net/anime/producer/1363/Marine_Entertainment","2004-04-01","7"
"189","TOHO","https://myanimelist.net/anime/producer/245/TOHO","1932-08-01","163"
"190","Tencent Penguin Pictures","https://myanimelist.net/anime/producer/1727/Tencent_Penguin_Pictures","2015-09-01","189"
"191","Kuaikan Manhua","https://myanimelist.net/anime/producer/2501/Kuaikan_Manhua","null","1"
"192","Valkyria","https://myanimelist.net/anime/producer/265/Valkyria","null","7"
"193","Anime Antenna Iinkai","https://myanimelist.net/anime/producer/1463/Anime_Antenna_Iinkai","null","53"
