"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"135","feel.","https://myanimelist.net/anime/producer/91/feel","2002-12-26","74"
"136","BS Fuji","https://myanimelist.net/anime/producer/843/BS_Fuji","1998-12-15","89"
"137","Strawberry Meets Pictures","https://myanimelist.net/anime/producer/884/Strawberry_Meets_Pictures","2001-02-19","9"
"138","Kanon Sound","https://myanimelist.net/anime/producer/1494/Kanon_Sound","2010-01-01","13"
"139","NichiNare","https://myanimelist.net/anime/producer/1589/NichiNare","1990-02-02","21"
"140","Melonbooks","https://myanimelist.net/anime/producer/1821/Melonbooks","1991-01-23","2"
"141","TMS Music","https://myanimelist.net/anime/producer/2174/TMS_Music","1999-08-01","30"
"142","CTW","https://myanimelist.net/anime/producer/2236/CTW","2013-08-14","11"
"143","TMS Entertainment","https://myanimelist.net/anime/producer/73/TMS_Entertainment","1946-10-01","397"
"144","Shueisha","https://myanimelist.net/anime/producer/1365/Shueisha","null","313"
"145","Pierrot","https://myanimelist.net/anime/producer/1/Pierrot","1979-05-01","308"
"146","AtelierPontdarc","https://myanimelist.net/anime/producer/2298/AtelierPontdarc","2020-07-01","3"
"147","Shufunotomo","https://myanimelist.net/anime/producer/1708/Shufunotomo","1916-09-18","5"
"148","Encourage Films","https://myanimelist.net/anime/producer/354/Encourage_Films","2008-08-05","18"
"149","Marui Group","https://myanimelist.net/anime/producer/1800/Marui_Group","1937-03-30","20"
"150","BS Asahi","https://myanimelist.net/anime/producer/2185/BS_Asahi","1998-12-01","29"
"151","WOWOW","https://myanimelist.net/anime/producer/33/WOWOW","1984-12-25","68"
"152","Yomiuri TV Enterprise","https://myanimelist.net/anime/producer/1492/Yomiuri_TV_Enterprise","1970-05-01","60"
"153","Happinet","https://myanimelist.net/anime/producer/1933/Happinet","1969-06-07","15"
"154","Tokyo Animator Gakuin","https://myanimelist.net/anime/producer/1987/Tokyo_Animator_Gakuin","1983-01-01","3"
"155","TO Books","https://myanimelist.net/anime/producer/1988/TO_Books","2003-04-01","10"
"156","JTB Next Creation","https://myanimelist.net/anime/producer/1989/JTB_Next_Creation","2018-04-01","5"
"157","bilibili","https://myanimelist.net/anime/producer/1414/bilibili","2009-06-01","226"
"158","Good Smile Film","https://myanimelist.net/anime/producer/1899/Good_Smile_Film","2017-11-22","17"
"159","Children's Playground Entertainment","https://myanimelist.net/anime/producer/1407/Childrens_Playground_Entertainment","2010-04-01","11"
"160","Muse Communication","https://myanimelist.net/anime/producer/1786/Muse_Communication","1992-09-02","17"
"161","MAGNET","https://myanimelist.net/anime/producer/1996/MAGNET","null","38"
"162","Studio Kai","https://myanimelist.net/anime/producer/1997/Studio_Kai","2019-06-01","21"
"163","HORNETS","https://myanimelist.net/anime/producer/2097/HORNETS","2013-12-27","5"
"164","Micro House","https://myanimelist.net/anime/producer/2440/Micro_House","null","4"
"165","ENGI","https://myanimelist.net/anime/producer/1974/ENGI","2018-04-04","17"
"166","Maho Film","https://myanimelist.net/anime/producer/1978/Maho_Film","2018-05-29","15"
"167","Notes","https://myanimelist.net/anime/producer/703/Notes","null","35"
"168","Delightworks","https://myanimelist.net/anime/producer/2008/Delightworks","2014-01-22","6"
"169","CloverWorks","https://myanimelist.net/anime/producer/1835/CloverWorks","2018-10-01","71"
"170","Kadokawa Animation","https://myanimelist.net/anime/producer/1916/Kadokawa_Animation","null","2"
"171","Bit Promotion","https://myanimelist.net/anime/producer/1869/Bit_Promotion","2012-05-02","10"
"172","Dream Shift","https://myanimelist.net/anime/producer/2090/Dream_Shift","2016-09-30","6"
"173","Project No.9","https://myanimelist.net/anime/producer/439/Project_No9","2009-02-09","43"
"174","Bandai Visual","https://myanimelist.net/anime/producer/23/Bandai_Visual","1983-08-23","435"
"175","Gentosha Comics","https://myanimelist.net/anime/producer/282/Gentosha_Comics","2001-10-22","5"
"176","Nikkatsu","https://myanimelist.net/anime/producer/513/Nikkatsu","1912-09-10","30"
"177","JR East Marketing & Communications","https://myanimelist.net/anime/producer/1501/JR_East_Marketing___Communications","1988-05-09","39"
"178","Dai Nippon Printing","https://myanimelist.net/anime/producer/1549/Dai_Nippon_Printing","1894-01-19","4"
"179","Cloud22","https://myanimelist.net/anime/producer/2088/Cloud22","2015-12-01","27"
"180","Passione","https://myanimelist.net/anime/producer/911/Passione","2011-01-26","28"
"181","EKACHI EPILKA","https://myanimelist.net/anime/producer/1794/EKACHI_EPILKA","2017-03-01","4"
"182","Satelight","https://myanimelist.net/anime/producer/41/Satelight","1995-12-01","109"
"183","Exa International","https://myanimelist.net/anime/producer/1598/Exa_International","1985-01-09","13"
"184","arma bianca","https://myanimelist.net/anime/producer/1986/arma_bianca","2015-07-01","8"
"185","SynergySP","https://myanimelist.net/anime/producer/118/SynergySP","1998-09-24","51"
"186","Shin-Ei Animation","https://myanimelist.net/anime/producer/247/Shin-Ei_Animation","1976-09-09","230"
"187","Half HP Studio","https://myanimelist.net/anime/producer/2716/Half_HP_Studio","null","6"
"188","Drive","https://myanimelist.net/anime/producer/1967/Drive","2015-05-11","10"
